time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;SyncCompensator_GEN_TSO_FrequencyHz;SyncCompensator_GEN_TSO_ActivePower;SyncCompensator_GEN_TSO_ReactivePower;Main_load_LOAD_TSO_ActivePower;Main_load_LOAD_TSO_ReactivePower;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;SyncCompensator_GEN_FrequencyHz;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.000e+00;6.251e-01;-1.357e-01;6.251e-01;-1.357e-01;9.593e-01;1.000e+00;6.420e-01;-9.477e-02;5.000e+01;4.160e-02;1.423e-01;6.667e-01;-2.593e-09;1.000e+00;5.626e-01;-1.221e-01;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;1.923e+01;1.923e+01
0.000432000;1.016e+00;6.433e-01;-8.846e-02;6.332e-01;-8.708e-02;9.894e-01;1.020e+00;6.474e-01;-4.655e-02;5.000e+01;2.337e-02;9.112e-02;6.667e-01;-4.100e-09;1.016e+00;5.790e-01;-7.962e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;2.959e+01;2.959e+01
0.000464000;1.017e+00;6.443e-01;-8.563e-02;6.336e-01;-8.421e-02;9.912e-01;1.022e+00;6.476e-01;-4.371e-02;5.000e+01;2.240e-02;8.811e-02;6.667e-01;-3.909e-09;1.017e+00;5.798e-01;-7.707e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;3.021e+01;3.021e+01
0.000720000;1.023e+00;6.507e-01;-6.566e-02;6.358e-01;-6.415e-02;1.004e+00;1.030e+00;6.487e-01;-2.393e-02;5.000e+01;1.599e-02;6.708e-02;6.667e-01;-1.926e-09;1.023e+00;5.856e-01;-5.909e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;3.457e+01;3.457e+01
0.001040000;1.030e+00;6.562e-01;-4.644e-02;6.373e-01;-4.510e-02;1.016e+00;1.038e+00;6.492e-01;-5.185e-03;5.000e+01;1.045e-02;4.714e-02;6.667e-01;3.676e-10;1.030e+00;5.906e-01;-4.179e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;3.873e+01;3.873e+01
0.001296000;1.033e+00;6.593e-01;-3.471e-02;6.380e-01;-3.359e-02;1.023e+00;1.042e+00;6.492e-01;6.116e-03;5.000e+01;7.356e-03;3.509e-02;6.667e-01;1.795e-09;1.033e+00;5.934e-01;-3.124e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.126e+01;4.126e+01
0.001456000;1.035e+00;6.608e-01;-2.874e-02;6.382e-01;-2.776e-02;1.027e+00;1.045e+00;6.492e-01;1.183e-02;5.000e+01;5.867e-03;2.900e-02;6.667e-01;2.783e-09;1.035e+00;5.947e-01;-2.587e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.254e+01;4.254e+01
0.001488000;1.036e+00;6.611e-01;-2.766e-02;6.383e-01;-2.670e-02;1.027e+00;1.045e+00;6.491e-01;1.286e-02;5.000e+01;5.603e-03;2.790e-02;6.667e-01;2.974e-09;1.036e+00;5.950e-01;-2.489e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.278e+01;4.278e+01
0.001510000;1.036e+00;6.612e-01;-2.695e-02;6.383e-01;-2.602e-02;1.028e+00;1.046e+00;6.491e-01;1.353e-02;5.000e+01;5.432e-03;2.719e-02;6.667e-01;3.810e-09;1.036e+00;5.951e-01;-2.426e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.293e+01;4.293e+01
0.001566000;1.036e+00;6.617e-01;-2.518e-02;6.384e-01;-2.429e-02;1.029e+00;1.046e+00;6.491e-01;1.522e-02;5.000e+01;5.004e-03;2.538e-02;6.667e-01;4.157e-09;1.036e+00;5.955e-01;-2.266e-02;1.000e+01;5.000e+01;6.667e-01;0.000e+00;1.044e+00;4.331e+01;4.331e+01
