time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;NetworkFrequencyPu
0.000000000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
0.000001000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.989998000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990002000;9.500e-01;4.166e-01;-4.445e-01;4.385e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990010000;9.500e-01;4.167e-01;-4.445e-01;4.386e-01;-4.679e-01;9.495e-01;4.388e-01;-4.677e-01;9.500e-01;1.667e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990026000;9.501e-01;4.167e-01;-4.446e-01;4.385e-01;-4.679e-01;9.496e-01;4.388e-01;-4.677e-01;9.501e-01;1.667e-02;-1.778e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990058000;9.503e-01;4.168e-01;-4.446e-01;4.386e-01;-4.679e-01;9.498e-01;4.388e-01;-4.677e-01;9.503e-01;1.667e-02;-1.779e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990122000;9.506e-01;4.169e-01;-4.448e-01;4.385e-01;-4.679e-01;9.501e-01;4.388e-01;-4.677e-01;9.506e-01;1.667e-02;-1.779e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990250000;9.512e-01;4.171e-01;-4.451e-01;4.385e-01;-4.679e-01;9.507e-01;4.388e-01;-4.677e-01;9.512e-01;1.669e-02;-1.780e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990378000;9.519e-01;4.174e-01;-4.454e-01;4.385e-01;-4.679e-01;9.514e-01;4.388e-01;-4.677e-01;9.519e-01;1.670e-02;-1.782e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990634000;9.532e-01;4.179e-01;-4.460e-01;4.385e-01;-4.679e-01;9.527e-01;4.387e-01;-4.677e-01;9.532e-01;1.672e-02;-1.784e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.990864000;9.543e-01;4.184e-01;-4.466e-01;4.385e-01;-4.679e-01;9.538e-01;4.387e-01;-4.677e-01;9.543e-01;1.674e-02;-1.786e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991095000;9.555e-01;4.189e-01;-4.471e-01;4.385e-01;-4.679e-01;9.550e-01;4.387e-01;-4.677e-01;9.555e-01;1.676e-02;-1.788e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991325000;9.566e-01;4.195e-01;-4.476e-01;4.385e-01;-4.679e-01;9.561e-01;4.387e-01;-4.677e-01;9.566e-01;1.678e-02;-1.790e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991556000;9.578e-01;4.199e-01;-4.481e-01;4.385e-01;-4.679e-01;9.573e-01;4.387e-01;-4.676e-01;9.578e-01;1.680e-02;-1.792e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.991786000;9.589e-01;4.204e-01;-4.486e-01;4.385e-01;-4.678e-01;9.584e-01;4.387e-01;-4.676e-01;9.589e-01;1.682e-02;-1.794e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992016000;9.601e-01;4.209e-01;-4.491e-01;4.384e-01;-4.678e-01;9.596e-01;4.387e-01;-4.676e-01;9.601e-01;1.684e-02;-1.796e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992247000;9.613e-01;4.215e-01;-4.496e-01;4.384e-01;-4.678e-01;9.608e-01;4.387e-01;-4.675e-01;9.613e-01;1.686e-02;-1.799e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992477000;9.624e-01;4.219e-01;-4.502e-01;4.384e-01;-4.677e-01;9.619e-01;4.387e-01;-4.675e-01;9.624e-01;1.688e-02;-1.801e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.992708000;9.636e-01;4.224e-01;-4.506e-01;4.384e-01;-4.677e-01;9.631e-01;4.386e-01;-4.674e-01;9.636e-01;1.690e-02;-1.802e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.993168000;9.659e-01;4.234e-01;-4.516e-01;4.384e-01;-4.676e-01;9.654e-01;4.386e-01;-4.674e-01;9.659e-01;1.694e-02;-1.807e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.993629000;9.682e-01;4.244e-01;-4.526e-01;4.384e-01;-4.675e-01;9.677e-01;4.386e-01;-4.672e-01;9.682e-01;1.698e-02;-1.810e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.994090000;9.705e-01;4.254e-01;-4.536e-01;4.383e-01;-4.674e-01;9.700e-01;4.385e-01;-4.672e-01;9.705e-01;1.702e-02;-1.814e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.994551000;9.728e-01;4.264e-01;-4.546e-01;4.383e-01;-4.673e-01;9.723e-01;4.385e-01;-4.670e-01;9.728e-01;1.706e-02;-1.818e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.995012000;9.752e-01;4.274e-01;-4.555e-01;4.382e-01;-4.672e-01;9.747e-01;4.385e-01;-4.669e-01;9.752e-01;1.709e-02;-1.822e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.995472000;9.775e-01;4.283e-01;-4.565e-01;4.382e-01;-4.670e-01;9.770e-01;4.384e-01;-4.668e-01;9.775e-01;1.713e-02;-1.826e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.995933000;9.798e-01;4.293e-01;-4.575e-01;4.381e-01;-4.669e-01;9.793e-01;4.384e-01;-4.667e-01;9.798e-01;1.717e-02;-1.830e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.996394000;9.821e-01;4.302e-01;-4.585e-01;4.380e-01;-4.668e-01;9.816e-01;4.383e-01;-4.666e-01;9.821e-01;1.721e-02;-1.834e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.996855000;9.844e-01;4.311e-01;-4.594e-01;4.379e-01;-4.667e-01;9.839e-01;4.382e-01;-4.665e-01;9.844e-01;1.724e-02;-1.838e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.997316000;9.867e-01;4.320e-01;-4.604e-01;4.379e-01;-4.666e-01;9.862e-01;4.381e-01;-4.664e-01;9.867e-01;1.728e-02;-1.842e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.997776000;9.891e-01;4.330e-01;-4.614e-01;4.378e-01;-4.665e-01;9.886e-01;4.380e-01;-4.663e-01;9.891e-01;1.732e-02;-1.846e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.998237000;9.914e-01;4.339e-01;-4.624e-01;4.377e-01;-4.664e-01;9.909e-01;4.379e-01;-4.662e-01;9.914e-01;1.735e-02;-1.850e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.998698000;9.937e-01;4.347e-01;-4.634e-01;4.375e-01;-4.664e-01;9.932e-01;4.378e-01;-4.662e-01;9.937e-01;1.739e-02;-1.854e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.999159000;9.960e-01;4.356e-01;-4.645e-01;4.374e-01;-4.663e-01;9.955e-01;4.376e-01;-4.661e-01;9.960e-01;1.742e-02;-1.858e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.999617000;9.983e-01;4.365e-01;-4.655e-01;4.372e-01;-4.663e-01;9.978e-01;4.375e-01;-4.661e-01;9.983e-01;1.746e-02;-1.862e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.999869000;9.996e-01;4.370e-01;-4.660e-01;4.371e-01;-4.662e-01;9.991e-01;4.374e-01;-4.660e-01;9.996e-01;1.748e-02;-1.864e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.999994000;1.000e+00;4.371e-01;-4.662e-01;4.371e-01;-4.662e-01;9.995e-01;4.373e-01;-4.660e-01;1.000e+00;1.749e-02;-1.865e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
29.999994000;1.000e+00;4.372e-01;-4.663e-01;4.371e-01;-4.662e-01;9.997e-01;4.373e-01;-4.660e-01;1.000e+00;1.749e-02;-1.865e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
30.000002000;1.000e+00;4.372e-01;-4.663e-01;4.371e-01;-4.662e-01;9.997e-01;4.373e-01;-4.660e-01;1.000e+00;1.749e-02;-1.865e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
30.000010000;1.000e+00;4.372e-01;-4.663e-01;4.371e-01;-4.662e-01;9.998e-01;4.373e-01;-4.660e-01;1.000e+00;1.749e-02;-1.865e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
30.000026000;1.000e+00;4.372e-01;-4.664e-01;4.371e-01;-4.662e-01;9.998e-01;4.373e-01;-4.660e-01;1.000e+00;1.749e-02;-1.866e-02;5.000e+01;4.166e-01;-4.441e-01;5.000e+01
