time;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_Voltage;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu
0.0;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
0.0;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
0.1;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
0.2;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
0.4;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
0.8;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
1.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
2.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
3.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
4.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
5.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
6.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
7.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
8.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
9.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
10.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
11.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
12.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
13.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
14.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
15.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
16.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
17.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
18.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
19.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
20.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
21.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
22.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
23.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
24.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
25.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
26.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
27.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
28.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
29.6;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
29.999994;0.9375;-0.000316;1.0444448574745342;1.044911278856248;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
29.999994;-0.05887000000000002;-0.06534000000000001;0.07373492103474445;0.058662286019213396;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
29.999994;-0.05887000000000002;-0.06534000000000001;0.07373352139969988;0.058662286019213396;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
29.999994;-0.05886900000000002;-0.06534000000000001;0.07373492103474445;0.058662286019213396;0.727675466016273;1.0;10.0;0.727471;-0.017249;1.044912;1.0
29.999994;-0.05886800000000002;-0.06534000000000001;0.07373492103474445;0.0586629932069614;0.7276754897212081;1.0;10.0;0.727471;-0.01725;1.044912;1.0
29.999995;-0.05887100000000002;-0.06533900000000001;0.07373492103474445;0.0586629932069614;0.7276755134275167;1.0;10.0;0.727471;-0.017251;1.044912;1.0
29.999996;-0.05886700000000002;-0.065337;0.07373492103474445;0.05866440742051351;0.7276755608442543;1.0;10.0;0.727471;-0.017253;1.044912;1.0
29.999997;-0.05886300000000001;-0.06533699999999998;0.07373632067034536;0.05866652903487644;0.7276756794101339;1.0;10.0;0.727471;-0.017258;1.044912;1.0
30.000001;-0.05885699999999998;-0.06533599999999998;0.07373911994321602;0.05867077191413115;0.7276758929152456;1.0;10.0;0.727471;-0.017267;1.044912;1.0
