time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu
0.000000000;1.040e+00;4.978e-01;-1.412e-02;4.787e-01;-1.357e-02;1.036e+00;1.048e+00;4.893e-01;1.111e-02;1.040e+00;4.480e-01;-1.270e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.001256000;1.040e+00;4.979e-01;-1.411e-02;4.787e-01;-1.356e-02;1.036e+00;1.048e+00;4.893e-01;1.112e-02;1.040e+00;4.481e-01;-1.269e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.001352000;1.040e+00;4.979e-01;-1.410e-02;4.787e-01;-1.356e-02;1.036e+00;1.048e+00;4.893e-01;1.113e-02;1.040e+00;4.481e-01;-1.269e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.001384000;1.040e+00;4.979e-01;-1.409e-02;4.787e-01;-1.355e-02;1.036e+00;1.048e+00;4.893e-01;1.113e-02;1.040e+00;4.481e-01;-1.269e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.002830000;1.040e+00;4.980e-01;-1.385e-02;4.788e-01;-1.332e-02;1.036e+00;1.048e+00;4.894e-01;1.137e-02;1.040e+00;4.482e-01;-1.247e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.002894000;1.040e+00;4.980e-01;-1.384e-02;4.788e-01;-1.330e-02;1.036e+00;1.048e+00;4.894e-01;1.139e-02;1.040e+00;4.482e-01;-1.245e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.003054000;1.040e+00;4.980e-01;-1.380e-02;4.788e-01;-1.326e-02;1.036e+00;1.048e+00;4.894e-01;1.142e-02;1.040e+00;4.482e-01;-1.242e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.003086000;1.040e+00;4.980e-01;-1.379e-02;4.788e-01;-1.326e-02;1.036e+00;1.048e+00;4.894e-01;1.143e-02;1.040e+00;4.482e-01;-1.241e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.004388000;1.040e+00;4.982e-01;-1.341e-02;4.789e-01;-1.289e-02;1.036e+00;1.048e+00;4.895e-01;1.180e-02;1.040e+00;4.483e-01;-1.207e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.004717000;1.040e+00;4.982e-01;-1.330e-02;4.789e-01;-1.279e-02;1.036e+00;1.048e+00;4.895e-01;1.191e-02;1.040e+00;4.484e-01;-1.197e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.005733000;1.040e+00;4.983e-01;-1.295e-02;4.790e-01;-1.244e-02;1.036e+00;1.048e+00;4.896e-01;1.225e-02;1.040e+00;4.485e-01;-1.165e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.005861000;1.040e+00;4.984e-01;-1.290e-02;4.790e-01;-1.240e-02;1.037e+00;1.048e+00;4.896e-01;1.229e-02;1.040e+00;4.485e-01;-1.161e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.006885000;1.040e+00;4.985e-01;-1.253e-02;4.791e-01;-1.205e-02;1.037e+00;1.048e+00;4.896e-01;1.265e-02;1.040e+00;4.487e-01;-1.128e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.007141000;1.041e+00;4.985e-01;-1.244e-02;4.791e-01;-1.196e-02;1.037e+00;1.048e+00;4.897e-01;1.274e-02;1.041e+00;4.487e-01;-1.120e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.008753000;1.041e+00;4.988e-01;-1.189e-02;4.793e-01;-1.142e-02;1.037e+00;1.048e+00;4.898e-01;1.327e-02;1.041e+00;4.489e-01;-1.070e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.008984000;1.041e+00;4.988e-01;-1.181e-02;4.793e-01;-1.135e-02;1.037e+00;1.048e+00;4.898e-01;1.335e-02;1.041e+00;4.489e-01;-1.063e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.009214000;1.041e+00;4.988e-01;-1.174e-02;4.793e-01;-1.128e-02;1.037e+00;1.049e+00;4.898e-01;1.342e-02;1.041e+00;4.489e-01;-1.056e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.009905000;1.041e+00;4.989e-01;-1.152e-02;4.793e-01;-1.107e-02;1.037e+00;1.049e+00;4.898e-01;1.363e-02;1.041e+00;4.490e-01;-1.037e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.010827000;1.041e+00;4.990e-01;-1.126e-02;4.794e-01;-1.082e-02;1.037e+00;1.049e+00;4.899e-01;1.388e-02;1.041e+00;4.491e-01;-1.013e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.011057000;1.041e+00;4.990e-01;-1.119e-02;4.794e-01;-1.075e-02;1.038e+00;1.049e+00;4.899e-01;1.394e-02;1.041e+00;4.491e-01;-1.008e-02;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.011518000;1.041e+00;4.991e-01;-1.107e-02;4.794e-01;-1.064e-02;1.038e+00;1.049e+00;4.899e-01;1.406e-02;1.041e+00;4.491e-01;-9.964e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.013361000;1.041e+00;4.992e-01;-1.064e-02;4.795e-01;-1.022e-02;1.038e+00;1.049e+00;4.899e-01;1.448e-02;1.041e+00;4.493e-01;-9.573e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.013592000;1.041e+00;4.992e-01;-1.059e-02;4.795e-01;-1.017e-02;1.038e+00;1.049e+00;4.899e-01;1.453e-02;1.041e+00;4.493e-01;-9.530e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.014467000;1.041e+00;4.992e-01;-1.042e-02;4.795e-01;-1.001e-02;1.038e+00;1.049e+00;4.899e-01;1.469e-02;1.041e+00;4.493e-01;-9.375e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.016541000;1.041e+00;4.992e-01;-1.007e-02;4.794e-01;-9.674e-03;1.038e+00;1.049e+00;4.899e-01;1.501e-02;1.041e+00;4.493e-01;-9.066e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.016956000;1.041e+00;4.992e-01;-1.001e-02;4.794e-01;-9.618e-03;1.038e+00;1.049e+00;4.899e-01;1.507e-02;1.041e+00;4.493e-01;-9.013e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.017785000;1.041e+00;4.992e-01;-9.906e-03;4.794e-01;-9.513e-03;1.038e+00;1.049e+00;4.898e-01;1.517e-02;1.041e+00;4.493e-01;-8.915e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.018200000;1.041e+00;4.992e-01;-9.854e-03;4.794e-01;-9.463e-03;1.038e+00;1.049e+00;4.898e-01;1.521e-02;1.041e+00;4.492e-01;-8.869e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.019029000;1.041e+00;4.991e-01;-9.760e-03;4.793e-01;-9.372e-03;1.038e+00;1.049e+00;4.897e-01;1.530e-02;1.041e+00;4.492e-01;-8.784e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.019859000;1.041e+00;4.991e-01;-9.674e-03;4.792e-01;-9.290e-03;1.038e+00;1.049e+00;4.896e-01;1.537e-02;1.041e+00;4.491e-01;-8.707e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.020273000;1.041e+00;4.990e-01;-9.634e-03;4.792e-01;-9.251e-03;1.039e+00;1.049e+00;4.896e-01;1.541e-02;1.041e+00;4.491e-01;-8.671e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.023577000;1.041e+00;4.986e-01;-9.370e-03;4.788e-01;-8.997e-03;1.039e+00;1.049e+00;4.892e-01;1.562e-02;1.041e+00;4.488e-01;-8.433e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.023808000;1.042e+00;4.986e-01;-9.354e-03;4.787e-01;-8.982e-03;1.039e+00;1.049e+00;4.891e-01;1.564e-02;1.042e+00;4.487e-01;-8.419e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.024038000;1.042e+00;4.985e-01;-9.339e-03;4.787e-01;-8.967e-03;1.039e+00;1.049e+00;4.891e-01;1.565e-02;1.042e+00;4.487e-01;-8.405e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.024268000;1.042e+00;4.985e-01;-9.323e-03;4.786e-01;-8.952e-03;1.039e+00;1.050e+00;4.890e-01;1.566e-02;1.042e+00;4.487e-01;-8.391e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.024560000;1.042e+00;4.985e-01;-9.304e-03;4.786e-01;-8.933e-03;1.039e+00;1.050e+00;4.890e-01;1.567e-02;1.042e+00;4.486e-01;-8.374e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.025552000;1.042e+00;4.983e-01;-9.243e-03;4.784e-01;-8.875e-03;1.039e+00;1.050e+00;4.888e-01;1.572e-02;1.042e+00;4.485e-01;-8.319e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.036597000;1.042e+00;4.965e-01;-8.700e-03;4.765e-01;-8.351e-03;1.039e+00;1.050e+00;4.869e-01;1.608e-02;1.042e+00;4.468e-01;-7.830e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.037597000;1.042e+00;4.963e-01;-8.659e-03;4.764e-01;-8.311e-03;1.039e+00;1.050e+00;4.868e-01;1.611e-02;1.042e+00;4.467e-01;-7.793e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.040597000;1.042e+00;4.960e-01;-8.543e-03;4.761e-01;-8.200e-03;1.039e+00;1.050e+00;4.865e-01;1.620e-02;1.042e+00;4.464e-01;-7.689e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.045597000;1.042e+00;4.958e-01;-8.372e-03;4.759e-01;-8.035e-03;1.039e+00;1.050e+00;4.862e-01;1.634e-02;1.042e+00;4.463e-01;-7.535e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.046597000;1.042e+00;4.958e-01;-8.342e-03;4.759e-01;-8.006e-03;1.039e+00;1.050e+00;4.862e-01;1.637e-02;1.042e+00;4.463e-01;-7.508e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.048597000;1.042e+00;4.959e-01;-8.282e-03;4.759e-01;-7.949e-03;1.039e+00;1.050e+00;4.863e-01;1.643e-02;1.042e+00;4.463e-01;-7.454e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.049597000;1.042e+00;4.959e-01;-8.254e-03;4.760e-01;-7.922e-03;1.040e+00;1.050e+00;4.863e-01;1.646e-02;1.042e+00;4.464e-01;-7.429e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.050597000;1.042e+00;4.960e-01;-8.227e-03;4.760e-01;-7.895e-03;1.040e+00;1.050e+00;4.864e-01;1.649e-02;1.042e+00;4.464e-01;-7.404e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.051597000;1.042e+00;4.961e-01;-8.200e-03;4.761e-01;-7.870e-03;1.040e+00;1.050e+00;4.865e-01;1.652e-02;1.042e+00;4.465e-01;-7.380e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.053516000;1.042e+00;4.963e-01;-8.152e-03;4.763e-01;-7.824e-03;1.040e+00;1.050e+00;4.866e-01;1.658e-02;1.042e+00;4.467e-01;-7.337e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.055556000;1.042e+00;4.966e-01;-8.103e-03;4.765e-01;-7.777e-03;1.040e+00;1.050e+00;4.869e-01;1.665e-02;1.042e+00;4.469e-01;-7.293e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.056068000;1.042e+00;4.966e-01;-8.091e-03;4.766e-01;-7.765e-03;1.040e+00;1.050e+00;4.870e-01;1.667e-02;1.042e+00;4.470e-01;-7.282e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.069140000;1.042e+00;4.989e-01;-7.846e-03;4.788e-01;-7.530e-03;1.040e+00;1.050e+00;4.892e-01;1.707e-02;1.042e+00;4.490e-01;-7.061e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.070140000;1.042e+00;4.991e-01;-7.828e-03;4.790e-01;-7.512e-03;1.040e+00;1.050e+00;4.893e-01;1.710e-02;1.042e+00;4.492e-01;-7.045e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.073140000;1.042e+00;4.995e-01;-7.769e-03;4.793e-01;-7.456e-03;1.040e+00;1.050e+00;4.897e-01;1.719e-02;1.042e+00;4.495e-01;-6.992e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.074547000;1.042e+00;4.996e-01;-7.739e-03;4.795e-01;-7.427e-03;1.040e+00;1.050e+00;4.898e-01;1.723e-02;1.042e+00;4.496e-01;-6.965e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.079507000;1.042e+00;4.999e-01;-7.623e-03;4.798e-01;-7.316e-03;1.040e+00;1.050e+00;4.901e-01;1.736e-02;1.042e+00;4.500e-01;-6.861e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.080507000;1.042e+00;5.000e-01;-7.598e-03;4.798e-01;-7.292e-03;1.040e+00;1.050e+00;4.902e-01;1.739e-02;1.042e+00;4.500e-01;-6.838e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.082507000;1.042e+00;5.000e-01;-7.544e-03;4.799e-01;-7.240e-03;1.040e+00;1.050e+00;4.902e-01;1.744e-02;1.042e+00;4.500e-01;-6.790e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.107566000;1.042e+00;4.992e-01;-6.790e-03;4.790e-01;-6.514e-03;1.040e+00;1.050e+00;4.893e-01;1.808e-02;1.042e+00;4.493e-01;-6.111e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.108566000;1.042e+00;4.992e-01;-6.762e-03;4.789e-01;-6.488e-03;1.040e+00;1.051e+00;4.893e-01;1.811e-02;1.042e+00;4.493e-01;-6.086e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.109566000;1.042e+00;4.992e-01;-6.736e-03;4.789e-01;-6.462e-03;1.040e+00;1.051e+00;4.892e-01;1.813e-02;1.042e+00;4.493e-01;-6.062e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.112566000;1.042e+00;4.992e-01;-6.657e-03;4.790e-01;-6.386e-03;1.040e+00;1.051e+00;4.893e-01;1.821e-02;1.042e+00;4.493e-01;-5.991e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.113566000;1.042e+00;4.993e-01;-6.631e-03;4.790e-01;-6.362e-03;1.040e+00;1.051e+00;4.893e-01;1.823e-02;1.042e+00;4.493e-01;-5.968e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.114566000;1.042e+00;4.993e-01;-6.606e-03;4.790e-01;-6.337e-03;1.040e+00;1.051e+00;4.893e-01;1.826e-02;1.042e+00;4.493e-01;-5.945e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.123566000;1.042e+00;4.996e-01;-6.394e-03;4.793e-01;-6.134e-03;1.040e+00;1.051e+00;4.896e-01;1.848e-02;1.042e+00;4.496e-01;-5.755e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.124566000;1.042e+00;4.996e-01;-6.371e-03;4.793e-01;-6.112e-03;1.041e+00;1.051e+00;4.896e-01;1.851e-02;1.042e+00;4.497e-01;-5.734e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.130787000;1.042e+00;4.999e-01;-6.233e-03;4.795e-01;-5.980e-03;1.041e+00;1.051e+00;4.898e-01;1.866e-02;1.042e+00;4.499e-01;-5.610e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.138817000;1.042e+00;5.001e-01;-6.053e-03;4.797e-01;-5.807e-03;1.041e+00;1.051e+00;4.900e-01;1.884e-02;1.042e+00;4.501e-01;-5.448e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.139817000;1.043e+00;5.001e-01;-6.031e-03;4.798e-01;-5.785e-03;1.041e+00;1.051e+00;4.900e-01;1.886e-02;1.043e+00;4.501e-01;-5.428e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.140817000;1.043e+00;5.002e-01;-6.008e-03;4.798e-01;-5.763e-03;1.041e+00;1.051e+00;4.900e-01;1.889e-02;1.043e+00;4.501e-01;-5.407e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.141817000;1.043e+00;5.002e-01;-5.984e-03;4.798e-01;-5.740e-03;1.041e+00;1.051e+00;4.900e-01;1.891e-02;1.043e+00;4.502e-01;-5.386e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.145817000;1.043e+00;5.002e-01;-5.891e-03;4.798e-01;-5.651e-03;1.041e+00;1.051e+00;4.901e-01;1.900e-02;1.043e+00;4.502e-01;-5.302e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.150817000;1.043e+00;5.002e-01;-5.772e-03;4.798e-01;-5.536e-03;1.041e+00;1.051e+00;4.900e-01;1.911e-02;1.043e+00;4.502e-01;-5.195e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.169817000;1.043e+00;5.000e-01;-5.324e-03;4.795e-01;-5.106e-03;1.041e+00;1.051e+00;4.898e-01;1.951e-02;1.043e+00;4.500e-01;-4.792e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.188205000;1.043e+00;5.001e-01;-4.933e-03;4.796e-01;-4.731e-03;1.041e+00;1.051e+00;4.898e-01;1.989e-02;1.043e+00;4.501e-01;-4.440e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.197973000;1.043e+00;5.002e-01;-4.738e-03;4.796e-01;-4.543e-03;1.041e+00;1.051e+00;4.898e-01;2.008e-02;1.043e+00;4.502e-01;-4.264e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.198973000;1.043e+00;5.002e-01;-4.719e-03;4.796e-01;-4.525e-03;1.042e+00;1.051e+00;4.898e-01;2.009e-02;1.043e+00;4.502e-01;-4.247e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.218973000;1.043e+00;5.002e-01;-4.327e-03;4.796e-01;-4.148e-03;1.042e+00;1.051e+00;4.898e-01;2.046e-02;1.043e+00;4.502e-01;-3.894e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.225973000;1.043e+00;5.002e-01;-4.194e-03;4.795e-01;-4.021e-03;1.042e+00;1.051e+00;4.897e-01;2.058e-02;1.043e+00;4.502e-01;-3.775e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.226973000;1.043e+00;5.002e-01;-4.176e-03;4.795e-01;-4.003e-03;1.042e+00;1.052e+00;4.897e-01;2.060e-02;1.043e+00;4.502e-01;-3.758e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.246973000;1.043e+00;5.002e-01;-3.817e-03;4.795e-01;-3.659e-03;1.042e+00;1.052e+00;4.897e-01;2.094e-02;1.043e+00;4.502e-01;-3.435e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.255973000;1.043e+00;5.002e-01;-3.664e-03;4.795e-01;-3.512e-03;1.042e+00;1.052e+00;4.896e-01;2.108e-02;1.043e+00;4.502e-01;-3.298e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.258973000;1.043e+00;5.002e-01;-3.614e-03;4.795e-01;-3.465e-03;1.042e+00;1.052e+00;4.896e-01;2.112e-02;1.043e+00;4.502e-01;-3.253e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.259973000;1.043e+00;5.002e-01;-3.598e-03;4.795e-01;-3.449e-03;1.042e+00;1.052e+00;4.896e-01;2.114e-02;1.043e+00;4.502e-01;-3.238e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.289973000;1.043e+00;5.002e-01;-3.126e-03;4.794e-01;-2.995e-03;1.042e+00;1.052e+00;4.895e-01;2.158e-02;1.043e+00;4.502e-01;-2.813e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.290973000;1.043e+00;5.002e-01;-3.111e-03;4.794e-01;-2.982e-03;1.043e+00;1.052e+00;4.895e-01;2.160e-02;1.043e+00;4.502e-01;-2.800e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.303973000;1.043e+00;5.002e-01;-2.921e-03;4.793e-01;-2.799e-03;1.043e+00;1.052e+00;4.895e-01;2.177e-02;1.043e+00;4.502e-01;-2.629e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
0.304973000;1.044e+00;5.002e-01;-2.907e-03;4.793e-01;-2.785e-03;1.043e+00;1.052e+00;4.895e-01;2.178e-02;1.044e+00;4.502e-01;-2.616e-03;1.000e+01;5.000e-01;1.141e-02;1.044e+00
