time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_VoltageInjTerminal;Wind_Turbine_GEN_ActiveCurrentInjTerminal;Wind_Turbine_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;8.319e-01;-5.437e-02;7.965e-01;-5.205e-02;1.028e+00;1.055e+00;8.085e-01;6.114e-03;1.044e+00;7.487e-01;-4.893e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.005027;1.044e+00;8.323e-01;-5.382e-02;7.969e-01;-5.153e-02;1.028e+00;1.055e+00;8.088e-01;6.672e-03;1.044e+00;7.491e-01;-4.844e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.010096;1.044e+00;8.331e-01;-5.151e-02;7.976e-01;-4.932e-02;1.029e+00;1.055e+00;8.094e-01;8.940e-03;1.044e+00;7.498e-01;-4.636e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.015303;1.044e+00;8.339e-01;-4.951e-02;7.984e-01;-4.740e-02;1.030e+00;1.056e+00;8.101e-01;1.092e-02;1.044e+00;7.505e-01;-4.456e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.020119;1.044e+00;8.345e-01;-4.821e-02;7.990e-01;-4.616e-02;1.030e+00;1.056e+00;8.106e-01;1.222e-02;1.044e+00;7.510e-01;-4.339e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.025239;1.044e+00;8.349e-01;-4.722e-02;7.994e-01;-4.521e-02;1.030e+00;1.056e+00;8.109e-01;1.320e-02;1.044e+00;7.514e-01;-4.250e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.030359;1.044e+00;8.352e-01;-4.646e-02;7.996e-01;-4.448e-02;1.031e+00;1.056e+00;8.111e-01;1.395e-02;1.044e+00;7.517e-01;-4.181e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.036743;1.044e+00;8.353e-01;-4.566e-02;7.997e-01;-4.372e-02;1.031e+00;1.056e+00;8.111e-01;1.471e-02;1.044e+00;7.517e-01;-4.110e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.040343;1.044e+00;8.352e-01;-4.525e-02;7.997e-01;-4.333e-02;1.031e+00;1.056e+00;8.111e-01;1.509e-02;1.044e+00;7.517e-01;-4.073e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.045743;1.044e+00;8.351e-01;-4.466e-02;7.995e-01;-4.276e-02;1.031e+00;1.056e+00;8.109e-01;1.563e-02;1.044e+00;7.515e-01;-4.019e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.050243;1.044e+00;8.349e-01;-4.418e-02;7.993e-01;-4.230e-02;1.031e+00;1.056e+00;8.107e-01;1.606e-02;1.044e+00;7.514e-01;-3.976e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.055143;1.044e+00;8.347e-01;-4.366e-02;7.991e-01;-4.180e-02;1.031e+00;1.056e+00;8.104e-01;1.652e-02;1.044e+00;7.512e-01;-3.929e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.060143;1.044e+00;8.344e-01;-4.314e-02;7.989e-01;-4.130e-02;1.032e+00;1.056e+00;8.102e-01;1.698e-02;1.044e+00;7.510e-01;-3.882e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.065143;1.044e+00;8.342e-01;-4.263e-02;7.987e-01;-4.081e-02;1.032e+00;1.056e+00;8.099e-01;1.743e-02;1.044e+00;7.508e-01;-3.836e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.070143;1.044e+00;8.340e-01;-4.212e-02;7.985e-01;-4.033e-02;1.032e+00;1.056e+00;8.097e-01;1.788e-02;1.044e+00;7.506e-01;-3.791e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.075143;1.044e+00;8.339e-01;-4.162e-02;7.984e-01;-3.985e-02;1.032e+00;1.056e+00;8.096e-01;1.833e-02;1.044e+00;7.505e-01;-3.746e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.080143;1.044e+00;8.338e-01;-4.114e-02;7.983e-01;-3.939e-02;1.032e+00;1.056e+00;8.094e-01;1.878e-02;1.044e+00;7.504e-01;-3.702e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.085143;1.044e+00;8.337e-01;-4.066e-02;7.982e-01;-3.893e-02;1.032e+00;1.056e+00;8.093e-01;1.922e-02;1.044e+00;7.503e-01;-3.659e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.090143;1.044e+00;8.337e-01;-4.018e-02;7.982e-01;-3.847e-02;1.032e+00;1.056e+00;8.093e-01;1.966e-02;1.044e+00;7.503e-01;-3.617e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.095143;1.044e+00;8.337e-01;-3.972e-02;7.982e-01;-3.803e-02;1.033e+00;1.056e+00;8.092e-01;2.010e-02;1.044e+00;7.503e-01;-3.575e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.102143;1.044e+00;8.337e-01;-3.908e-02;7.982e-01;-3.741e-02;1.033e+00;1.056e+00;8.092e-01;2.071e-02;1.044e+00;7.503e-01;-3.517e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.106143;1.044e+00;8.337e-01;-3.871e-02;7.982e-01;-3.706e-02;1.033e+00;1.056e+00;8.092e-01;2.105e-02;1.044e+00;7.503e-01;-3.484e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.110143;1.044e+00;8.338e-01;-3.835e-02;7.983e-01;-3.672e-02;1.033e+00;1.056e+00;8.092e-01;2.139e-02;1.044e+00;7.504e-01;-3.452e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.115143;1.044e+00;8.338e-01;-3.790e-02;7.983e-01;-3.629e-02;1.033e+00;1.056e+00;8.093e-01;2.182e-02;1.044e+00;7.504e-01;-3.411e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.120143;1.044e+00;8.338e-01;-3.746e-02;7.984e-01;-3.586e-02;1.033e+00;1.056e+00;8.093e-01;2.224e-02;1.044e+00;7.505e-01;-3.371e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.125143;1.044e+00;8.339e-01;-3.702e-02;7.984e-01;-3.544e-02;1.033e+00;1.057e+00;8.093e-01;2.266e-02;1.044e+00;7.505e-01;-3.331e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.130143;1.044e+00;8.339e-01;-3.658e-02;7.984e-01;-3.502e-02;1.033e+00;1.057e+00;8.093e-01;2.308e-02;1.044e+00;7.505e-01;-3.292e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.137143;1.044e+00;8.339e-01;-3.596e-02;7.984e-01;-3.443e-02;1.034e+00;1.057e+00;8.093e-01;2.366e-02;1.044e+00;7.505e-01;-3.236e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.143143;1.044e+00;8.339e-01;-3.544e-02;7.984e-01;-3.393e-02;1.034e+00;1.057e+00;8.092e-01;2.416e-02;1.044e+00;7.505e-01;-3.189e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.145143;1.044e+00;8.339e-01;-3.527e-02;7.985e-01;-3.376e-02;1.034e+00;1.057e+00;8.092e-01;2.432e-02;1.044e+00;7.505e-01;-3.174e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.150143;1.044e+00;8.339e-01;-3.483e-02;7.984e-01;-3.335e-02;1.034e+00;1.057e+00;8.092e-01;2.473e-02;1.044e+00;7.505e-01;-3.135e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.156143;1.044e+00;8.339e-01;-3.432e-02;7.984e-01;-3.286e-02;1.034e+00;1.057e+00;8.092e-01;2.521e-02;1.044e+00;7.505e-01;-3.088e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.160143;1.044e+00;8.339e-01;-3.398e-02;7.984e-01;-3.253e-02;1.034e+00;1.057e+00;8.091e-01;2.553e-02;1.044e+00;7.505e-01;-3.058e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.165143;1.044e+00;8.339e-01;-3.355e-02;7.984e-01;-3.212e-02;1.034e+00;1.057e+00;8.091e-01;2.593e-02;1.044e+00;7.505e-01;-3.019e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.170143;1.044e+00;8.339e-01;-3.313e-02;7.984e-01;-3.172e-02;1.035e+00;1.057e+00;8.090e-01;2.632e-02;1.044e+00;7.505e-01;-2.982e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.175143;1.044e+00;8.339e-01;-3.271e-02;7.984e-01;-3.132e-02;1.035e+00;1.057e+00;8.090e-01;2.671e-02;1.044e+00;7.505e-01;-2.944e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.180143;1.044e+00;8.339e-01;-3.230e-02;7.984e-01;-3.092e-02;1.035e+00;1.057e+00;8.090e-01;2.710e-02;1.044e+00;7.505e-01;-2.907e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.185143;1.044e+00;8.338e-01;-3.188e-02;7.984e-01;-3.053e-02;1.035e+00;1.057e+00;8.089e-01;2.749e-02;1.044e+00;7.505e-01;-2.870e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.191143;1.044e+00;8.338e-01;-3.140e-02;7.984e-01;-3.006e-02;1.035e+00;1.057e+00;8.089e-01;2.795e-02;1.044e+00;7.505e-01;-2.826e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.196143;1.044e+00;8.338e-01;-3.099e-02;7.983e-01;-2.967e-02;1.035e+00;1.057e+00;8.089e-01;2.832e-02;1.044e+00;7.504e-01;-2.789e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.200143;1.044e+00;8.338e-01;-3.067e-02;7.983e-01;-2.937e-02;1.035e+00;1.057e+00;8.088e-01;2.862e-02;1.044e+00;7.504e-01;-2.760e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
0.205143;1.044e+00;8.338e-01;-3.027e-02;7.983e-01;-2.899e-02;1.035e+00;1.057e+00;8.088e-01;2.900e-02;1.044e+00;7.504e-01;-2.725e-02;1.000e+01;8.333e-01;5.613e-03;1.044e+00;5.000e+01;5.000e+01
