Time (s);Ip PGU (pu);Ip lower (pu);Ip upper (pu);Ip upper_overdamped (pu);Ip lower_overdamped (pu);Ip upper_underdamped (pu);Ip lower_underdamped (pu)
0.000e+00;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.667e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
3.334e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
5.002e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
6.669e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
8.336e-03;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.000e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.167e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.334e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.501e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.667e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
1.834e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
2.001e-02;3.000e-01;3.447e-03;4.466e-01;4.466e-01;3.447e-03;4.466e-01;3.447e-03
2.167e-02;3.000e-01;3.151e-03;4.468e-01;4.468e-01;3.151e-03;4.468e-01;3.151e-03
2.334e-02;2.998e-01;2.856e-03;4.471e-01;4.469e-01;2.856e-03;4.471e-01;2.856e-03
2.501e-02;2.996e-01;2.563e-03;4.474e-01;4.469e-01;2.563e-03;4.474e-01;2.563e-03
2.668e-02;2.994e-01;2.272e-03;4.477e-01;4.468e-01;2.272e-03;4.477e-01;2.272e-03
2.834e-02;2.990e-01;1.982e-03;4.480e-01;4.466e-01;1.982e-03;4.480e-01;1.982e-03
3.001e-02;2.986e-01;1.517e-01;4.483e-01;4.463e-01;1.517e-01;4.483e-01;1.517e-01
3.168e-02;2.982e-01;1.502e-01;4.459e-01;4.459e-01;1.514e-01;4.450e-01;1.502e-01
3.334e-02;2.977e-01;1.488e-01;4.454e-01;4.454e-01;1.510e-01;4.418e-01;1.488e-01
3.501e-02;2.971e-01;1.473e-01;4.448e-01;4.448e-01;1.507e-01;4.386e-01;1.473e-01
3.668e-02;2.964e-01;1.459e-01;4.441e-01;4.441e-01;1.502e-01;4.354e-01;1.459e-01
3.835e-02;2.957e-01;1.445e-01;4.433e-01;4.433e-01;1.498e-01;4.323e-01;1.445e-01
4.001e-02;2.950e-01;1.430e-01;4.425e-01;4.425e-01;1.493e-01;4.291e-01;1.430e-01
4.168e-02;2.942e-01;1.416e-01;4.416e-01;4.416e-01;1.488e-01;4.260e-01;1.416e-01
4.335e-02;2.934e-01;1.402e-01;4.406e-01;4.406e-01;1.483e-01;4.229e-01;1.402e-01
4.502e-02;2.925e-01;1.389e-01;4.396e-01;4.396e-01;1.477e-01;4.199e-01;1.389e-01
4.668e-02;2.916e-01;1.375e-01;4.384e-01;4.384e-01;1.471e-01;4.168e-01;1.375e-01
4.835e-02;2.906e-01;1.361e-01;4.373e-01;4.373e-01;1.465e-01;4.138e-01;1.361e-01
5.002e-02;2.896e-01;1.348e-01;4.360e-01;4.360e-01;1.459e-01;4.108e-01;1.348e-01
5.168e-02;2.886e-01;1.334e-01;4.347e-01;4.347e-01;1.452e-01;4.079e-01;1.334e-01
5.335e-02;2.875e-01;1.321e-01;4.334e-01;4.334e-01;1.445e-01;4.050e-01;1.321e-01
5.502e-02;2.864e-01;1.308e-01;4.320e-01;4.320e-01;1.438e-01;4.020e-01;1.308e-01
5.669e-02;2.852e-01;1.294e-01;4.306e-01;4.306e-01;1.431e-01;3.991e-01;1.294e-01
5.835e-02;2.841e-01;1.281e-01;4.291e-01;4.291e-01;1.423e-01;3.963e-01;1.281e-01
6.002e-02;2.829e-01;1.268e-01;4.275e-01;4.275e-01;1.416e-01;3.934e-01;1.268e-01
6.169e-02;2.817e-01;1.256e-01;4.260e-01;4.260e-01;1.408e-01;3.906e-01;1.256e-01
6.335e-02;2.804e-01;1.243e-01;4.243e-01;4.243e-01;1.400e-01;3.878e-01;1.243e-01
6.502e-02;2.791e-01;1.230e-01;4.227e-01;4.227e-01;1.392e-01;3.851e-01;1.230e-01
6.669e-02;2.778e-01;1.218e-01;4.210e-01;4.210e-01;1.384e-01;3.823e-01;1.218e-01
6.836e-02;2.765e-01;1.205e-01;4.193e-01;4.193e-01;1.375e-01;3.796e-01;1.205e-01
7.002e-02;2.752e-01;1.193e-01;4.175e-01;4.175e-01;1.367e-01;3.769e-01;1.193e-01
7.169e-02;2.738e-01;1.180e-01;4.158e-01;4.158e-01;1.358e-01;3.742e-01;1.180e-01
7.336e-02;2.725e-01;1.168e-01;4.139e-01;4.139e-01;1.349e-01;3.715e-01;1.168e-01
7.503e-02;2.711e-01;1.156e-01;4.121e-01;4.121e-01;1.341e-01;3.689e-01;1.156e-01
7.669e-02;2.697e-01;1.144e-01;4.102e-01;4.102e-01;1.332e-01;3.663e-01;1.144e-01
7.836e-02;2.682e-01;1.132e-01;4.084e-01;4.084e-01;1.323e-01;3.637e-01;1.132e-01
8.003e-02;2.668e-01;1.120e-01;4.065e-01;4.065e-01;1.313e-01;3.611e-01;1.120e-01
8.169e-02;2.654e-01;1.109e-01;4.045e-01;4.045e-01;1.304e-01;3.585e-01;1.109e-01
8.336e-02;2.639e-01;1.097e-01;4.026e-01;4.026e-01;1.295e-01;3.560e-01;1.097e-01
8.503e-02;2.624e-01;1.085e-01;4.006e-01;4.006e-01;1.286e-01;3.535e-01;1.085e-01
8.670e-02;2.610e-01;1.074e-01;3.986e-01;3.986e-01;1.276e-01;3.510e-01;1.074e-01
8.836e-02;2.595e-01;1.062e-01;3.966e-01;3.966e-01;1.267e-01;3.485e-01;1.062e-01
9.003e-02;2.580e-01;1.051e-01;3.946e-01;3.946e-01;1.257e-01;3.461e-01;1.051e-01
9.170e-02;2.565e-01;1.036e-01;3.926e-01;3.926e-01;1.248e-01;3.436e-01;1.036e-01
9.336e-02;2.550e-01;9.933e-02;3.906e-01;3.906e-01;1.238e-01;3.412e-01;9.933e-02
9.503e-02;2.534e-01;9.504e-02;3.885e-01;3.885e-01;1.228e-01;3.388e-01;9.504e-02
9.670e-02;2.519e-01;9.079e-02;3.865e-01;3.865e-01;1.219e-01;3.364e-01;9.079e-02
9.837e-02;2.504e-01;8.657e-02;3.844e-01;3.844e-01;1.209e-01;3.341e-01;8.657e-02
1.000e-01;2.488e-01;8.239e-02;3.823e-01;3.823e-01;1.199e-01;3.317e-01;8.239e-02
1.017e-01;2.473e-01;7.823e-02;3.803e-01;3.803e-01;1.189e-01;3.294e-01;7.823e-02
1.034e-01;2.458e-01;7.412e-02;3.782e-01;3.782e-01;1.180e-01;3.271e-01;7.412e-02
1.050e-01;2.442e-01;7.004e-02;3.761e-01;3.761e-01;1.170e-01;3.248e-01;7.004e-02
1.067e-01;2.427e-01;6.599e-02;3.740e-01;3.740e-01;1.160e-01;3.226e-01;6.599e-02
1.084e-01;2.411e-01;6.199e-02;3.719e-01;3.719e-01;1.150e-01;3.203e-01;6.199e-02
1.100e-01;2.396e-01;5.802e-02;3.698e-01;3.698e-01;1.140e-01;3.181e-01;5.802e-02
1.117e-01;2.380e-01;5.409e-02;3.677e-01;3.677e-01;1.130e-01;3.159e-01;5.409e-02
1.134e-01;2.365e-01;5.019e-02;3.656e-01;3.656e-01;1.120e-01;3.137e-01;5.019e-02
1.150e-01;2.349e-01;4.634e-02;3.635e-01;3.635e-01;1.110e-01;3.115e-01;4.634e-02
1.167e-01;2.334e-01;4.253e-02;3.614e-01;3.614e-01;1.101e-01;3.094e-01;4.253e-02
1.184e-01;2.318e-01;3.876e-02;3.592e-01;3.592e-01;1.091e-01;3.072e-01;3.876e-02
1.200e-01;2.303e-01;3.503e-02;3.571e-01;3.571e-01;1.081e-01;3.051e-01;3.503e-02
1.217e-01;2.287e-01;3.134e-02;3.550e-01;3.550e-01;1.071e-01;3.030e-01;3.134e-02
1.234e-01;2.272e-01;2.769e-02;3.529e-01;3.529e-01;1.061e-01;3.009e-01;2.769e-02
1.250e-01;2.257e-01;2.408e-02;3.508e-01;3.508e-01;1.051e-01;2.989e-01;2.408e-02
1.267e-01;2.241e-01;2.052e-02;3.487e-01;3.487e-01;1.041e-01;2.968e-01;2.052e-02
1.284e-01;2.226e-01;1.700e-02;3.466e-01;3.466e-01;1.032e-01;2.948e-01;1.700e-02
1.300e-01;2.211e-01;1.353e-02;3.445e-01;3.445e-01;1.022e-01;2.928e-01;1.353e-02
1.317e-01;2.195e-01;1.010e-02;3.425e-01;3.425e-01;1.012e-01;2.908e-01;1.010e-02
1.334e-01;2.180e-01;6.712e-03;3.404e-01;3.404e-01;1.002e-01;2.888e-01;6.712e-03
1.350e-01;2.165e-01;3.371e-03;3.383e-01;3.383e-01;9.925e-02;2.868e-01;3.371e-03
1.367e-01;2.150e-01;7.428e-05;3.362e-01;3.362e-01;9.828e-02;2.849e-01;7.428e-05
1.384e-01;2.134e-01;-3.177e-03;3.341e-01;3.341e-01;9.731e-02;2.829e-01;-3.177e-03
1.400e-01;2.119e-01;-6.382e-03;3.321e-01;3.321e-01;9.635e-02;2.810e-01;-6.382e-03
1.417e-01;2.104e-01;-9.542e-03;3.300e-01;3.300e-01;9.538e-02;2.791e-01;-9.542e-03
1.434e-01;2.089e-01;-1.266e-02;3.280e-01;3.280e-01;9.442e-02;2.772e-01;-1.266e-02
1.450e-01;2.074e-01;-1.572e-02;3.259e-01;3.259e-01;9.347e-02;2.753e-01;-1.572e-02
1.467e-01;2.060e-01;-1.874e-02;3.239e-01;3.239e-01;9.251e-02;2.735e-01;-1.874e-02
1.484e-01;2.045e-01;-2.172e-02;3.219e-01;3.219e-01;9.156e-02;2.716e-01;-2.172e-02
1.501e-01;2.030e-01;-2.465e-02;3.199e-01;3.199e-01;9.062e-02;2.698e-01;-2.465e-02
1.517e-01;2.015e-01;-2.753e-02;3.178e-01;3.178e-01;8.967e-02;2.680e-01;-2.753e-02
1.534e-01;2.001e-01;-3.036e-02;3.158e-01;3.158e-01;8.873e-02;2.662e-01;-3.036e-02
1.551e-01;1.986e-01;-3.314e-02;3.138e-01;3.138e-01;8.780e-02;2.644e-01;-3.314e-02
1.567e-01;1.972e-01;-3.588e-02;3.119e-01;3.119e-01;8.687e-02;2.626e-01;-3.588e-02
1.584e-01;1.957e-01;-3.857e-02;3.099e-01;3.099e-01;8.594e-02;2.609e-01;-3.857e-02
1.601e-01;1.943e-01;-4.122e-02;3.079e-01;3.079e-01;8.501e-02;2.591e-01;-4.122e-02
1.617e-01;1.929e-01;-4.381e-02;3.060e-01;3.060e-01;8.409e-02;2.574e-01;-4.381e-02
1.634e-01;1.914e-01;-4.636e-02;3.040e-01;3.040e-01;8.318e-02;2.557e-01;-4.636e-02
1.651e-01;1.900e-01;-4.886e-02;3.021e-01;3.021e-01;8.226e-02;2.540e-01;-4.886e-02
1.667e-01;1.886e-01;-5.132e-02;3.001e-01;3.001e-01;8.136e-02;2.523e-01;-5.132e-02
1.684e-01;1.872e-01;-5.372e-02;2.982e-01;2.982e-01;8.045e-02;2.506e-01;-5.372e-02
1.701e-01;1.858e-01;-5.608e-02;2.963e-01;2.963e-01;7.955e-02;2.490e-01;-5.608e-02
1.717e-01;1.844e-01;-5.839e-02;2.944e-01;2.944e-01;7.866e-02;2.473e-01;-5.839e-02
1.734e-01;1.830e-01;-6.066e-02;2.925e-01;2.925e-01;7.777e-02;2.457e-01;-6.066e-02
1.751e-01;1.817e-01;-6.287e-02;2.906e-01;2.906e-01;7.688e-02;2.441e-01;-6.287e-02
