time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;9.500e-01;4.166e-01;-4.445e-01;4.386e-01;-4.679e-01;9.286e-01;4.553e-01;-4.516e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01;5.000e+01
29.990002000;9.500e-01;4.166e-01;-4.445e-01;4.385e-01;-4.679e-01;9.286e-01;4.553e-01;-4.516e-01;9.500e-01;1.666e-02;-1.778e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01;5.000e+01
29.990010000;9.500e-01;4.167e-01;-4.445e-01;4.386e-01;-4.679e-01;9.287e-01;4.553e-01;-4.516e-01;9.500e-01;1.667e-02;-1.778e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01;5.000e+01
29.990026000;9.501e-01;4.167e-01;-4.446e-01;4.385e-01;-4.679e-01;9.287e-01;4.553e-01;-4.516e-01;9.501e-01;1.667e-02;-1.778e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01;5.000e+01
29.990080000;9.504e-01;4.168e-01;-4.447e-01;4.386e-01;-4.679e-01;9.290e-01;4.553e-01;-4.516e-01;9.504e-01;1.667e-02;-1.779e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;5.000e+01;5.000e+01
29.991181000;9.559e-01;4.192e-01;-4.472e-01;4.385e-01;-4.679e-01;9.345e-01;4.551e-01;-4.517e-01;9.559e-01;1.677e-02;-1.789e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.995e+01;5.000e+01
29.991590000;9.580e-01;4.201e-01;-4.481e-01;4.385e-01;-4.678e-01;9.366e-01;4.551e-01;-4.517e-01;9.580e-01;1.680e-02;-1.792e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.995e+01;5.000e+01
29.991718000;9.586e-01;4.204e-01;-4.484e-01;4.385e-01;-4.678e-01;9.372e-01;4.551e-01;-4.516e-01;9.586e-01;1.682e-02;-1.794e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.994e+01;5.000e+01
29.992166000;9.609e-01;4.214e-01;-4.494e-01;4.385e-01;-4.677e-01;9.395e-01;4.551e-01;-4.516e-01;9.609e-01;1.685e-02;-1.798e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.994e+01;5.000e+01
29.993203000;9.661e-01;4.238e-01;-4.515e-01;4.386e-01;-4.674e-01;9.447e-01;4.551e-01;-4.514e-01;9.661e-01;1.695e-02;-1.806e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.994e+01;5.000e+01
29.993307000;9.666e-01;4.240e-01;-4.517e-01;4.386e-01;-4.674e-01;9.452e-01;4.551e-01;-4.514e-01;9.666e-01;1.696e-02;-1.807e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.993e+01;5.000e+01
29.994240000;9.713e-01;4.262e-01;-4.536e-01;4.388e-01;-4.671e-01;9.500e-01;4.551e-01;-4.511e-01;9.713e-01;1.705e-02;-1.815e-02;5.000e+01;1.000e+01;4.166e-01;-4.441e-01;4.993e+01;5.000e+01
