time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.870e-01;8.578e-01;-3.951e-01;1.000e+00;3.333e-02;-1.778e-02;1.000e+01;8.333e-01;-4.435e-01;5.000e+01;5.000e+01
0.003000000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.870e-01;8.578e-01;-3.951e-01;1.000e+00;3.333e-02;-1.778e-02;1.000e+01;8.333e-01;-4.435e-01;5.000e+01;5.000e+01
30.000000000;1.000e+00;8.332e-01;-4.445e-01;8.332e-01;-4.445e-01;9.870e-01;8.578e-01;-3.951e-01;1.000e+00;3.333e-02;-1.778e-02;1.000e+01;8.333e-01;-4.435e-01;5.000e+01;5.000e+01
30.000000000;1.319e-06;4.364e-08;-2.796e-07;2.159e-07;9.086e-07;5.942e-02;2.255e-01;9.172e-01;1.009e-06;5.525e-09;7.896e-09;1.000e+01;8.333e-01;-4.435e-01;5.875e+01;5.875e+01
30.003000000;1.376e-06;2.669e-08;-3.524e-07;2.440e-07;1.001e-06;6.072e-02;2.306e-01;9.371e-01;1.005e-06;5.703e-09;7.397e-09;1.000e+01;8.333e-01;-4.435e-01;5.917e+01;5.917e+01
30.006000000;1.439e-06;2.545e-09;-4.422e-07;2.660e-07;1.070e-06;5.991e-02;2.274e-01;9.248e-01;9.963e-07;5.430e-09;6.574e-09;1.000e+01;8.333e-01;-4.435e-01;5.934e+01;5.934e+01
30.009000000;1.508e-06;-2.308e-08;-5.488e-07;2.753e-07;1.104e-06;5.954e-02;2.259e-01;9.191e-01;9.826e-07;4.579e-09;5.592e-09;1.000e+01;8.333e-01;-4.435e-01;5.938e+01;5.938e+01
30.012000000;1.583e-06;-4.431e-08;-6.725e-07;2.649e-07;1.100e-06;5.453e-02;2.068e-01;8.417e-01;9.661e-07;3.248e-09;4.753e-09;1.000e+01;8.333e-01;-4.435e-01;5.842e+01;5.842e+01
30.015000000;1.660e-06;-5.855e-08;-8.148e-07;2.280e-07;1.068e-06;5.458e-02;2.070e-01;8.424e-01;9.501e-07;1.743e-09;4.448e-09;1.000e+01;8.333e-01;-4.435e-01;5.806e+01;5.806e+01
30.018000000;1.738e-06;-6.449e-08;-9.671e-07;1.598e-07;1.024e-06;5.568e-02;2.115e-01;8.594e-01;9.358e-07;4.258e-10;4.758e-09;1.000e+01;8.333e-01;-4.435e-01;5.776e+01;5.776e+01
30.021000000;1.812e-06;-6.009e-08;-1.108e-06;6.037e-08;9.833e-07;5.740e-02;2.178e-01;8.860e-01;9.206e-07;-3.966e-10;5.352e-09;1.000e+01;8.333e-01;-4.435e-01;5.750e+01;5.750e+01
30.024000000;1.874e-06;-4.330e-08;-1.218e-06;-6.571e-08;9.493e-07;5.941e-02;2.255e-01;9.169e-01;8.988e-07;-5.303e-10;6.152e-09;1.000e+01;8.333e-01;-4.435e-01;5.730e+01;5.730e+01
30.027000000;1.917e-06;-1.187e-08;-1.288e-06;-2.118e-07;9.182e-07;6.152e-02;2.336e-01;9.496e-01;8.664e-07;5.092e-11;7.686e-09;1.000e+01;8.333e-01;-4.435e-01;5.712e+01;5.712e+01
30.030000000;1.937e-06;3.626e-08;-1.306e-06;-3.701e-07;8.881e-07;6.360e-02;2.413e-01;9.819e-01;8.253e-07;1.203e-09;1.047e-08;1.000e+01;8.333e-01;-4.435e-01;5.698e+01;5.698e+01
30.033000000;1.927e-06;9.857e-08;-1.255e-06;-5.320e-07;8.619e-07;6.558e-02;2.489e-01;1.012e+00;7.822e-07;2.597e-09;1.461e-08;1.000e+01;8.333e-01;-4.435e-01;5.687e+01;5.687e+01
30.036000000;1.886e-06;1.649e-07;-1.126e-06;-6.915e-07;8.389e-07;6.741e-02;2.559e-01;1.041e+00;7.434e-07;3.726e-09;2.012e-08;1.000e+01;8.333e-01;-4.435e-01;5.679e+01;5.679e+01
30.039000000;1.816e-06;2.212e-07;-9.260e-07;-8.481e-07;8.130e-07;6.909e-02;2.623e-01;1.066e+00;7.108e-07;4.067e-09;2.714e-08;1.000e+01;8.333e-01;-4.435e-01;5.672e+01;5.672e+01
30.042000000;1.728e-06;2.565e-07;-6.747e-07;-1.004e-06;7.826e-07;7.060e-02;2.681e-01;1.090e+00;6.817e-07;3.393e-09;3.535e-08;1.000e+01;8.333e-01;-4.435e-01;5.668e+01;5.668e+01
30.045000000;1.636e-06;2.665e-07;-3.967e-07;-1.159e-06;7.556e-07;7.195e-02;2.731e-01;1.110e+00;6.537e-07;1.989e-09;4.366e-08;1.000e+01;8.333e-01;-4.435e-01;5.665e+01;5.665e+01
30.048000000;1.552e-06;2.529e-07;-1.161e-07;-1.307e-06;7.441e-07;7.316e-02;2.778e-01;1.129e+00;6.275e-07;3.516e-10;5.080e-08;1.000e+01;8.333e-01;-4.435e-01;5.663e+01;5.663e+01
30.051000000;1.479e-06;2.207e-07;1.497e-07;-1.447e-06;7.560e-07;7.423e-02;2.816e-01;1.146e+00;6.064e-07;-1.336e-09;5.630e-08;1.000e+01;8.333e-01;-4.435e-01;5.662e+01;5.662e+01
30.054000000;1.419e-06;1.754e-07;3.898e-07;-1.582e-06;7.902e-07;7.518e-02;2.853e-01;1.160e+00;5.941e-07;-3.174e-09;6.045e-08;1.000e+01;8.333e-01;-4.435e-01;5.663e+01;5.663e+01
30.057000000;1.370e-06;1.210e-07;5.988e-07;-1.709e-06;8.446e-07;7.601e-02;2.885e-01;1.173e+00;5.931e-07;-5.139e-09;6.346e-08;1.000e+01;8.333e-01;-4.435e-01;5.665e+01;5.665e+01
30.060000000;1.333e-06;5.871e-08;7.759e-07;-1.816e-06;9.206e-07;7.674e-02;2.912e-01;1.185e+00;6.016e-07;-7.018e-09;6.523e-08;1.000e+01;8.333e-01;-4.435e-01;5.667e+01;5.667e+01
30.063000000;1.306e-06;-1.331e-08;9.229e-07;-1.889e-06;1.009e-06;7.738e-02;2.937e-01;1.194e+00;6.138e-07;-8.613e-09;6.567e-08;1.000e+01;8.333e-01;-4.435e-01;5.670e+01;5.670e+01
30.066000000;1.285e-06;-9.820e-08;1.044e-06;-1.927e-06;1.083e-06;7.794e-02;2.957e-01;1.203e+00;6.246e-07;-9.766e-09;6.480e-08;1.000e+01;8.333e-01;-4.435e-01;5.674e+01;5.674e+01
30.069000000;1.265e-06;-1.944e-07;1.147e-06;-1.931e-06;1.112e-06;7.844e-02;2.977e-01;1.211e+00;6.320e-07;-1.023e-08;6.263e-08;1.000e+01;8.333e-01;-4.435e-01;5.678e+01;5.678e+01
30.072000000;1.241e-06;-2.918e-07;1.245e-06;-1.897e-06;1.082e-06;7.887e-02;2.992e-01;1.217e+00;6.362e-07;-9.747e-09;5.907e-08;1.000e+01;8.333e-01;-4.435e-01;5.683e+01;5.683e+01
30.075000000;1.210e-06;-3.758e-07;1.348e-06;-1.812e-06;9.965e-07;7.925e-02;3.006e-01;1.223e+00;6.388e-07;-8.369e-09;5.407e-08;1.000e+01;8.333e-01;-4.435e-01;5.688e+01;5.688e+01
30.078000000;1.174e-06;-4.324e-07;1.448e-06;-1.663e-06;8.720e-07;7.958e-02;3.019e-01;1.228e+00;6.406e-07;-6.549e-09;4.786e-08;1.000e+01;8.333e-01;-4.435e-01;5.693e+01;5.693e+01
30.078000000;1.136e-06;-4.537e-07;1.523e-06;-1.439e-06;7.310e-07;7.957e-02;3.019e-01;1.228e+00;6.389e-07;-4.684e-09;4.082e-08;1.000e+01;8.333e-01;-4.435e-01;5.693e+01;5.693e+01
30.081000000;1.097e-06;-4.391e-07;1.548e-06;-1.143e-06;5.937e-07;7.986e-02;3.030e-01;1.232e+00;6.301e-07;-2.764e-09;3.323e-08;1.000e+01;8.333e-01;-4.435e-01;5.699e+01;5.699e+01
30.084000000;1.059e-06;-3.945e-07;1.508e-06;-7.895e-07;4.750e-07;8.011e-02;3.040e-01;1.236e+00;6.128e-07;-6.602e-10;2.532e-08;1.000e+01;8.333e-01;-4.435e-01;5.705e+01;5.705e+01
30.087000000;2.027e-06;-3.278e-07;1.399e-06;-4.091e-07;3.861e-07;8.033e-02;3.047e-01;1.240e+00;1.589e-06;1.430e-09;1.735e-08;1.000e+01;8.333e-01;-4.435e-01;5.711e+01;5.711e+01
30.090000000;2.003e-06;-2.492e-07;1.228e-06;-4.370e-08;3.383e-07;8.052e-02;3.055e-01;1.243e+00;1.563e-06;3.148e-09;9.618e-09;1.000e+01;8.333e-01;-4.435e-01;5.718e+01;5.718e+01
30.093000000;1.993e-06;-1.705e-07;1.003e-06;2.720e-07;3.356e-07;8.068e-02;3.061e-01;1.245e+00;1.538e-06;4.398e-09;2.457e-09;1.000e+01;8.333e-01;-4.435e-01;5.724e+01;5.724e+01
30.096000000;2.000e-06;-9.774e-08;7.339e-07;5.222e-07;3.673e-07;8.082e-02;3.068e-01;1.247e+00;1.515e-06;5.497e-09;-3.894e-09;1.000e+01;8.333e-01;-4.435e-01;5.731e+01;5.731e+01
30.099000000;2.021e-06;-2.800e-08;4.460e-07;7.056e-07;4.132e-07;8.095e-02;3.073e-01;1.250e+00;1.490e-06;6.963e-09;-9.258e-09;1.000e+01;8.333e-01;-4.435e-01;5.738e+01;5.738e+01
30.102000000;2.047e-06;4.105e-08;1.703e-07;8.255e-07;4.533e-07;8.107e-02;3.075e-01;1.251e+00;1.464e-06;9.083e-09;-1.354e-08;1.000e+01;8.333e-01;-4.435e-01;5.745e+01;5.745e+01
