time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.044e+00;8.332e-01;-3.034e-09;7.978e-01;1.133e-09;1.044e+00;3.333e-02;-7.471e-09;1.000e+01;8.333e-01;6.920e-04
30.000000000;1.044e+00;8.332e-01;-1.137e-08;7.978e-01;8.681e-09;1.044e+00;3.333e-02;2.083e-09;1.000e+01;8.333e-01;6.920e-04
30.000000000;6.341e-07;1.553e-06;-1.198e-08;-3.023e-07;9.250e-09;9.116e-07;-5.066e-09;1.463e-09;1.000e+01;8.333e-01;6.920e-04
30.018000000;3.933e-07;1.372e-06;-1.473e-08;-7.437e-07;7.055e-09;6.852e-07;-1.801e-08;-5.828e-09;1.000e+01;8.333e-01;6.920e-04
30.030000000;5.653e-07;1.758e-06;-1.706e-08;-9.756e-07;3.662e-09;5.640e-07;-2.885e-08;-1.056e-08;1.000e+01;8.333e-01;6.920e-04
30.039000000;7.622e-07;2.279e-06;-1.392e-08;-1.017e-06;2.107e-09;6.619e-07;-4.147e-08;-1.224e-08;1.000e+01;8.333e-01;6.920e-04
30.048000000;9.027e-07;2.358e-06;-7.582e-09;-1.011e-06;8.570e-10;8.427e-07;-4.791e-08;-1.085e-08;1.000e+01;8.333e-01;6.920e-04
30.087000000;1.186e-06;-9.793e-07;-2.024e-09;-3.029e-07;-9.265e-10;1.448e-06;4.089e-08;6.775e-09;1.000e+01;8.333e-01;6.920e-04
30.150000000;5.241e-07;1.260e-06;-2.334e-09;-7.008e-07;-1.559e-08;1.038e-06;1.083e-07;4.376e-09;1.000e+01;8.333e-01;6.920e-04
30.150000000;1.436e+00;1.251e+00;1.384e+00;8.711e-01;9.638e-01;1.436e+00;5.003e-02;5.535e-02;1.000e+01;8.333e-01;6.920e-04
30.153000000;1.488e+00;1.101e+00;1.588e+00;7.404e-01;1.068e+00;1.488e+00;4.406e-02;6.353e-02;1.000e+01;8.333e-01;6.920e-04
30.153000000;1.488e+00;1.101e+00;1.588e+00;7.404e-01;1.068e+00;1.488e+00;4.406e-02;6.353e-02;1.000e+01;8.333e-01;6.920e-04
30.156000000;1.499e+00;1.057e+00;1.636e+00;7.050e-01;1.091e+00;1.499e+00;4.228e-02;6.546e-02;1.000e+01;8.333e-01;6.920e-04
30.159000000;1.463e+00;1.058e+00;1.470e+00;7.230e-01;1.005e+00;1.463e+00;4.231e-02;5.880e-02;1.000e+01;8.333e-01;6.920e-04
30.162000000;1.407e+00;1.043e+00;1.225e+00;7.413e-01;8.706e-01;1.407e+00;4.171e-02;4.899e-02;1.000e+01;8.333e-01;6.920e-04
30.165000000;1.343e+00;1.006e+00;9.619e-01;7.495e-01;7.163e-01;1.343e+00;4.026e-02;3.848e-02;1.000e+01;8.333e-01;6.920e-04
30.168000000;1.294e+00;9.784e-01;7.723e-01;7.564e-01;5.971e-01;1.294e+00;3.914e-02;3.089e-02;1.000e+01;8.333e-01;6.920e-04
30.171000000;1.249e+00;9.528e-01;6.105e-01;7.631e-01;4.889e-01;1.249e+00;3.811e-02;2.442e-02;1.000e+01;8.333e-01;6.920e-04
30.174000000;1.208e+00;9.307e-01;4.744e-01;7.702e-01;3.926e-01;1.208e+00;3.723e-02;1.897e-02;1.000e+01;8.333e-01;6.920e-04
30.177000000;1.173e+00;9.128e-01;3.613e-01;7.781e-01;3.080e-01;1.173e+00;3.651e-02;1.445e-02;1.000e+01;8.333e-01;6.920e-04
30.180000000;1.142e+00;8.988e-01;2.682e-01;7.869e-01;2.348e-01;1.142e+00;3.595e-02;1.073e-02;1.000e+01;8.333e-01;6.920e-04
30.183000000;1.116e+00;8.888e-01;1.921e-01;7.967e-01;1.722e-01;1.116e+00;3.555e-02;7.685e-03;1.000e+01;8.333e-01;6.920e-04
30.186000000;1.093e+00;8.823e-01;1.303e-01;8.073e-01;1.193e-01;1.093e+00;3.529e-02;5.213e-03;1.000e+01;8.333e-01;6.920e-04
30.189000000;1.074e+00;8.788e-01;8.040e-02;8.186e-01;7.489e-02;1.074e+00;3.515e-02;3.216e-03;1.000e+01;8.333e-01;6.920e-04
30.192000000;1.057e+00;8.780e-01;4.027e-02;8.304e-01;3.809e-02;1.057e+00;3.512e-02;1.611e-03;1.000e+01;8.333e-01;6.920e-04
30.192000000;1.057e+00;8.780e-01;4.025e-02;8.304e-01;3.807e-02;1.057e+00;3.512e-02;1.610e-03;1.000e+01;8.333e-01;6.920e-04
30.195000000;1.044e+00;8.785e-01;8.100e-03;8.417e-01;7.761e-03;1.044e+00;3.514e-02;3.240e-04;1.000e+01;8.333e-01;6.920e-04
30.198000000;1.032e+00;8.807e-01;-1.742e-02;8.531e-01;-1.688e-02;1.032e+00;3.523e-02;-6.970e-04;1.000e+01;8.333e-01;6.920e-04
30.201000000;1.023e+00;8.843e-01;-3.760e-02;8.643e-01;-3.675e-02;1.023e+00;3.537e-02;-1.504e-03;1.000e+01;8.333e-01;6.920e-04
30.204000000;1.015e+00;8.890e-01;-5.340e-02;8.754e-01;-5.259e-02;1.015e+00;3.556e-02;-2.136e-03;1.000e+01;8.333e-01;6.920e-04
30.207000000;1.009e+00;8.944e-01;-6.570e-02;8.863e-01;-6.510e-02;1.009e+00;3.578e-02;-2.628e-03;1.000e+01;8.333e-01;6.920e-04
30.210000000;1.004e+00;9.007e-01;-7.455e-02;8.969e-01;-7.423e-02;1.004e+00;3.603e-02;-2.982e-03;1.000e+01;8.333e-01;6.920e-04
30.213000000;1.002e+00;9.084e-01;-7.827e-02;9.069e-01;-7.815e-02;1.002e+00;3.633e-02;-3.131e-03;1.000e+01;8.333e-01;6.920e-04
30.216000000;1.000e+00;9.169e-01;-7.840e-02;9.164e-01;-7.836e-02;1.000e+00;3.667e-02;-3.136e-03;1.000e+01;8.333e-01;6.920e-04
30.222000000;1.001e+00;9.345e-01;-7.215e-02;9.334e-01;-7.206e-02;1.001e+00;3.738e-02;-2.886e-03;1.000e+01;8.333e-01;6.920e-04
30.225000000;1.003e+00;9.414e-01;-6.742e-02;9.390e-01;-6.725e-02;1.003e+00;3.766e-02;-2.697e-03;1.000e+01;8.333e-01;6.920e-04
30.228000000;1.004e+00;9.467e-01;-6.218e-02;9.426e-01;-6.190e-02;1.004e+00;3.787e-02;-2.487e-03;1.000e+01;8.333e-01;6.920e-04
30.231000000;1.007e+00;9.505e-01;-5.675e-02;9.443e-01;-5.638e-02;1.007e+00;3.802e-02;-2.270e-03;1.000e+01;8.333e-01;6.920e-04
30.234000000;1.009e+00;9.526e-01;-5.140e-02;9.443e-01;-5.095e-02;1.009e+00;3.810e-02;-2.056e-03;1.000e+01;8.333e-01;6.920e-04
30.237000000;1.011e+00;9.531e-01;-4.625e-02;9.426e-01;-4.574e-02;1.011e+00;3.812e-02;-1.850e-03;1.000e+01;8.333e-01;6.920e-04
30.240000000;1.014e+00;9.522e-01;-4.143e-02;9.395e-01;-4.087e-02;1.014e+00;3.809e-02;-1.657e-03;1.000e+01;8.333e-01;6.920e-04
30.246000000;1.018e+00;9.464e-01;-3.293e-02;9.296e-01;-3.234e-02;1.018e+00;3.786e-02;-1.317e-03;1.000e+01;8.333e-01;6.920e-04
30.252000000;1.022e+00;9.366e-01;-2.605e-02;9.160e-01;-2.548e-02;1.022e+00;3.746e-02;-1.042e-03;1.000e+01;8.333e-01;6.920e-04
30.258000000;1.026e+00;9.239e-01;-2.070e-02;9.002e-01;-2.017e-02;1.026e+00;3.696e-02;-8.280e-04;1.000e+01;8.333e-01;6.920e-04
30.267000000;1.031e+00;9.022e-01;-1.503e-02;8.749e-01;-1.457e-02;1.031e+00;3.609e-02;-6.010e-04;1.000e+01;8.333e-01;6.920e-04
30.270000000;1.033e+00;8.948e-01;-1.360e-02;8.664e-01;-1.317e-02;1.033e+00;3.579e-02;-5.440e-04;1.000e+01;8.333e-01;6.920e-04
30.282000000;1.037e+00;8.664e-01;-9.750e-03;8.353e-01;-9.400e-03;1.037e+00;3.465e-02;-3.900e-04;1.000e+01;8.333e-01;6.920e-04
30.285000000;1.038e+00;8.600e-01;-9.100e-03;8.284e-01;-8.766e-03;1.038e+00;3.440e-02;-3.640e-04;1.000e+01;8.333e-01;6.920e-04
30.288000000;1.039e+00;8.539e-01;-8.550e-03;8.219e-01;-8.230e-03;1.039e+00;3.416e-02;-3.420e-04;1.000e+01;8.333e-01;6.920e-04
30.291000000;1.040e+00;8.482e-01;-8.050e-03;8.158e-01;-7.743e-03;1.040e+00;3.393e-02;-3.220e-04;1.000e+01;8.333e-01;6.920e-04
30.300000000;1.041e+00;8.336e-01;-6.975e-03;8.004e-01;-6.697e-03;1.041e+00;3.334e-02;-2.790e-04;1.000e+01;8.333e-01;6.920e-04
30.309000000;1.043e+00;8.226e-01;-6.250e-03;7.889e-01;-5.994e-03;1.043e+00;3.290e-02;-2.500e-04;1.000e+01;8.333e-01;6.920e-04
30.315000000;1.043e+00;8.172e-01;-5.875e-03;7.833e-01;-5.631e-03;1.043e+00;3.269e-02;-2.350e-04;1.000e+01;8.333e-01;6.920e-04
30.318000000;1.044e+00;8.150e-01;-5.725e-03;7.810e-01;-5.486e-03;1.044e+00;3.260e-02;-2.290e-04;1.000e+01;8.333e-01;6.920e-04
30.321000000;1.044e+00;8.132e-01;-5.575e-03;7.790e-01;-5.341e-03;1.044e+00;3.253e-02;-2.230e-04;1.000e+01;8.333e-01;6.920e-04
30.330000000;1.044e+00;8.093e-01;-5.200e-03;7.750e-01;-4.979e-03;1.044e+00;3.237e-02;-2.080e-04;1.000e+01;8.333e-01;6.920e-04
30.333000000;1.044e+00;8.085e-01;-5.075e-03;7.741e-01;-4.859e-03;1.044e+00;3.234e-02;-2.030e-04;1.000e+01;8.333e-01;6.920e-04
30.336000000;1.045e+00;8.079e-01;-4.975e-03;7.735e-01;-4.763e-03;1.045e+00;3.232e-02;-1.990e-04;1.000e+01;8.333e-01;6.920e-04
30.342000000;1.045e+00;8.073e-01;-4.775e-03;7.728e-01;-4.571e-03;1.045e+00;3.229e-02;-1.910e-04;1.000e+01;8.333e-01;6.920e-04
30.345000000;1.045e+00;8.073e-01;-4.675e-03;7.727e-01;-4.475e-03;1.045e+00;3.229e-02;-1.870e-04;1.000e+01;8.333e-01;6.920e-04
30.363000000;1.045e+00;8.091e-01;-4.200e-03;7.745e-01;-4.020e-03;1.045e+00;3.236e-02;-1.680e-04;1.000e+01;8.333e-01;6.920e-04
30.366000000;1.045e+00;8.097e-01;-4.125e-03;7.750e-01;-3.948e-03;1.045e+00;3.239e-02;-1.650e-04;1.000e+01;8.333e-01;6.920e-04
30.381000000;1.045e+00;8.129e-01;-3.800e-03;7.782e-01;-3.638e-03;1.045e+00;3.252e-02;-1.520e-04;1.000e+01;8.333e-01;6.920e-04
30.426000000;1.044e+00;8.229e-01;-3.200e-03;7.882e-01;-3.065e-03;1.044e+00;3.292e-02;-1.280e-04;1.000e+01;8.333e-01;6.920e-04
30.429000000;1.044e+00;8.235e-01;-3.175e-03;7.889e-01;-3.041e-03;1.044e+00;3.294e-02;-1.270e-04;1.000e+01;8.333e-01;6.920e-04
30.438000000;1.044e+00;8.253e-01;-3.100e-03;7.906e-01;-2.970e-03;1.044e+00;3.301e-02;-1.240e-04;1.000e+01;8.333e-01;6.920e-04
30.528000000;1.043e+00;8.415e-01;-2.500e-03;8.070e-01;-2.398e-03;1.043e+00;3.366e-02;-1.000e-04;1.000e+01;8.333e-01;6.920e-04
30.534000000;1.043e+00;8.424e-01;-2.475e-03;8.080e-01;-2.374e-03;1.043e+00;3.370e-02;-9.900e-05;1.000e+01;8.333e-01;6.920e-04
30.537000000;1.043e+00;8.428e-01;-2.450e-03;8.085e-01;-2.350e-03;1.043e+00;3.371e-02;-9.800e-05;1.000e+01;8.333e-01;6.920e-04
30.543000000;1.042e+00;8.437e-01;-2.425e-03;8.093e-01;-2.326e-03;1.042e+00;3.375e-02;-9.700e-05;1.000e+01;8.333e-01;6.920e-04
30.573000000;1.042e+00;8.474e-01;-2.275e-03;8.131e-01;-2.183e-03;1.042e+00;3.390e-02;-9.100e-05;1.000e+01;8.333e-01;6.920e-04
30.579000000;1.042e+00;8.480e-01;-2.250e-03;8.137e-01;-2.159e-03;1.042e+00;3.392e-02;-9.000e-05;1.000e+01;8.333e-01;6.920e-04
30.621000000;1.042e+00;8.501e-01;-2.125e-03;8.158e-01;-2.039e-03;1.042e+00;3.401e-02;-8.500e-05;1.000e+01;8.333e-01;6.920e-04
30.624000000;1.042e+00;8.502e-01;-2.125e-03;8.159e-01;-2.039e-03;1.042e+00;3.401e-02;-8.500e-05;1.000e+01;8.333e-01;6.920e-04
30.639000000;1.042e+00;8.500e-01;-2.100e-03;8.158e-01;-2.015e-03;1.042e+00;3.400e-02;-8.400e-05;1.000e+01;8.333e-01;6.920e-04
30.657000000;1.042e+00;8.494e-01;-2.100e-03;8.151e-01;-2.015e-03;1.042e+00;3.397e-02;-8.400e-05;1.000e+01;8.333e-01;6.920e-04
30.687000000;1.042e+00;8.471e-01;-2.125e-03;8.127e-01;-2.039e-03;1.042e+00;3.388e-02;-8.501e-05;1.000e+01;8.333e-01;6.920e-04
30.690000000;1.042e+00;8.467e-01;-2.125e-03;8.124e-01;-2.039e-03;1.042e+00;3.387e-02;-8.501e-05;1.000e+01;8.333e-01;6.920e-04
30.693000000;1.042e+00;8.464e-01;-2.125e-03;8.120e-01;-2.039e-03;1.042e+00;3.386e-02;-8.500e-05;1.000e+01;8.333e-01;6.920e-04
30.837000000;1.044e+00;8.254e-01;-2.450e-03;7.905e-01;-2.347e-03;1.044e+00;3.302e-02;-9.799e-05;1.000e+01;8.333e-01;6.920e-04
30.840000000;1.044e+00;8.250e-01;-2.450e-03;7.902e-01;-2.346e-03;1.044e+00;3.300e-02;-9.799e-05;1.000e+01;8.333e-01;6.920e-04
30.846000000;1.044e+00;8.243e-01;-2.475e-03;7.894e-01;-2.370e-03;1.044e+00;3.297e-02;-9.899e-05;1.000e+01;8.333e-01;6.920e-04
30.873000000;1.044e+00;8.218e-01;-2.500e-03;7.868e-01;-2.394e-03;1.044e+00;3.287e-02;-9.999e-05;1.000e+01;8.333e-01;6.920e-04
30.897000000;1.045e+00;8.204e-01;-2.500e-03;7.854e-01;-2.393e-03;1.045e+00;3.281e-02;-1.000e-04;1.000e+01;8.333e-01;6.920e-04
30.906000000;1.045e+00;8.201e-01;-2.500e-03;7.851e-01;-2.393e-03;1.045e+00;3.280e-02;-1.000e-04;1.000e+01;8.333e-01;6.920e-04
30.909000000;1.045e+00;8.200e-01;-2.500e-03;7.851e-01;-2.393e-03;1.045e+00;3.280e-02;-1.000e-04;1.000e+01;8.333e-01;6.920e-04
30.912000000;1.045e+00;8.200e-01;-2.500e-03;7.850e-01;-2.393e-03;1.045e+00;3.280e-02;-1.000e-04;1.000e+01;8.333e-01;6.920e-04
30.951000000;1.045e+00;8.208e-01;-2.425e-03;7.858e-01;-2.322e-03;1.045e+00;3.283e-02;-9.700e-05;1.000e+01;8.333e-01;6.920e-04
30.978000000;1.044e+00;8.227e-01;-2.350e-03;7.878e-01;-2.250e-03;1.044e+00;3.291e-02;-9.400e-05;1.000e+01;8.333e-01;6.920e-04
