time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.097e+00;4.166e-01;4.445e-01;3.799e-01;4.053e-01;1.097e+00;3.797e-01;4.055e-01;1.097e+00;1.666e-02;1.778e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
29.991000000;1.097e+00;4.166e-01;4.445e-01;3.799e-01;4.053e-01;1.097e+00;3.797e-01;4.055e-01;1.097e+00;1.666e-02;1.778e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
29.991000000;1.092e+00;4.147e-01;4.425e-01;3.798e-01;4.054e-01;1.092e+00;3.797e-01;4.055e-01;1.092e+00;1.659e-02;1.770e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.003e+01;5.000e+01
29.994000000;1.077e+00;4.092e-01;4.376e-01;3.800e-01;4.064e-01;1.077e+00;3.799e-01;4.065e-01;1.077e+00;1.637e-02;1.750e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.003e+01;5.000e+01
29.997000000;1.062e+00;4.042e-01;4.334e-01;3.806e-01;4.081e-01;1.062e+00;3.804e-01;4.083e-01;1.062e+00;1.617e-02;1.734e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.003e+01;5.000e+01
30.000000000;1.047e+00;3.995e-01;4.302e-01;3.815e-01;4.108e-01;1.048e+00;3.813e-01;4.110e-01;1.047e+00;1.598e-02;1.721e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.004e+01;5.000e+01
30.003000000;1.033e+00;3.953e-01;4.280e-01;3.828e-01;4.145e-01;1.033e+00;3.826e-01;4.146e-01;1.033e+00;1.581e-02;1.712e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.004e+01;5.000e+01
30.006000000;1.018e+00;3.916e-01;4.268e-01;3.846e-01;4.191e-01;1.019e+00;3.844e-01;4.193e-01;1.018e+00;1.566e-02;1.707e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.004e+01;5.000e+01
30.009000000;1.004e+00;3.883e-01;4.264e-01;3.868e-01;4.247e-01;1.004e+00;3.866e-01;4.248e-01;1.004e+00;1.553e-02;1.706e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.005e+01;5.000e+01
30.009000000;1.004e+00;3.883e-01;4.264e-01;3.868e-01;4.247e-01;1.004e+00;3.866e-01;4.248e-01;1.004e+00;1.553e-02;1.706e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.005e+01;5.000e+01
30.012000000;9.997e-01;3.893e-01;4.307e-01;3.894e-01;4.308e-01;1.000e+00;3.892e-01;4.310e-01;9.997e-01;1.557e-02;1.723e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.003e+01;5.000e+01
30.015000000;1.001e+00;3.924e-01;4.374e-01;3.922e-01;4.372e-01;1.001e+00;3.920e-01;4.373e-01;1.001e+00;1.570e-02;1.750e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.002e+01;5.000e+01
30.018000000;1.001e+00;3.955e-01;4.441e-01;3.950e-01;4.435e-01;1.002e+00;3.948e-01;4.437e-01;1.001e+00;1.582e-02;1.776e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.002e+01;5.000e+01
30.021000000;1.002e+00;3.986e-01;4.500e-01;3.978e-01;4.491e-01;1.002e+00;3.976e-01;4.492e-01;1.002e+00;1.594e-02;1.800e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.002e+01;5.000e+01
30.024000000;1.003e+00;4.015e-01;4.547e-01;4.005e-01;4.536e-01;1.003e+00;4.003e-01;4.537e-01;1.003e+00;1.606e-02;1.819e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.002e+01;5.000e+01
30.027000000;1.003e+00;4.042e-01;4.585e-01;4.030e-01;4.571e-01;1.003e+00;4.028e-01;4.573e-01;1.003e+00;1.617e-02;1.834e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.030000000;1.003e+00;4.067e-01;4.614e-01;4.053e-01;4.599e-01;1.004e+00;4.051e-01;4.601e-01;1.003e+00;1.627e-02;1.846e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.033000000;1.004e+00;4.090e-01;4.637e-01;4.075e-01;4.620e-01;1.004e+00;4.073e-01;4.622e-01;1.004e+00;1.636e-02;1.855e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.036000000;1.004e+00;4.110e-01;4.654e-01;4.094e-01;4.636e-01;1.004e+00;4.093e-01;4.638e-01;1.004e+00;1.644e-02;1.861e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.039000000;1.004e+00;4.128e-01;4.666e-01;4.112e-01;4.647e-01;1.004e+00;4.110e-01;4.649e-01;1.004e+00;1.651e-02;1.866e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.042000000;1.004e+00;4.144e-01;4.673e-01;4.128e-01;4.655e-01;1.005e+00;4.126e-01;4.657e-01;1.004e+00;1.658e-02;1.869e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.045000000;1.004e+00;4.158e-01;4.679e-01;4.141e-01;4.660e-01;1.005e+00;4.139e-01;4.661e-01;1.004e+00;1.663e-02;1.871e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.048000000;1.004e+00;4.170e-01;4.682e-01;4.153e-01;4.662e-01;1.005e+00;4.151e-01;4.664e-01;1.004e+00;1.668e-02;1.873e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.051000000;1.004e+00;4.181e-01;4.682e-01;4.163e-01;4.663e-01;1.005e+00;4.161e-01;4.665e-01;1.004e+00;1.672e-02;1.873e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.054000000;1.004e+00;4.189e-01;4.682e-01;4.171e-01;4.663e-01;1.005e+00;4.169e-01;4.665e-01;1.004e+00;1.675e-02;1.873e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.057000000;1.004e+00;4.196e-01;4.681e-01;4.178e-01;4.662e-01;1.005e+00;4.176e-01;4.663e-01;1.004e+00;1.678e-02;1.872e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.001e+01;5.000e+01
30.060000000;1.004e+00;4.201e-01;4.679e-01;4.184e-01;4.660e-01;1.005e+00;4.182e-01;4.662e-01;1.004e+00;1.681e-02;1.872e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.063000000;1.004e+00;4.205e-01;4.677e-01;4.188e-01;4.658e-01;1.005e+00;4.186e-01;4.660e-01;1.004e+00;1.682e-02;1.871e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.066000000;1.004e+00;4.208e-01;4.674e-01;4.191e-01;4.655e-01;1.005e+00;4.189e-01;4.657e-01;1.004e+00;1.683e-02;1.870e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.069000000;1.004e+00;4.210e-01;4.672e-01;4.193e-01;4.653e-01;1.005e+00;4.191e-01;4.655e-01;1.004e+00;1.684e-02;1.869e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.072000000;1.004e+00;4.212e-01;4.669e-01;4.195e-01;4.651e-01;1.005e+00;4.192e-01;4.653e-01;1.004e+00;1.685e-02;1.868e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.075000000;1.004e+00;4.212e-01;4.667e-01;4.195e-01;4.648e-01;1.005e+00;4.193e-01;4.650e-01;1.004e+00;1.685e-02;1.867e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.078000000;1.004e+00;4.212e-01;4.665e-01;4.195e-01;4.646e-01;1.004e+00;4.193e-01;4.648e-01;1.004e+00;1.685e-02;1.866e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.081000000;1.004e+00;4.211e-01;4.662e-01;4.194e-01;4.644e-01;1.004e+00;4.192e-01;4.646e-01;1.004e+00;1.684e-02;1.865e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.084000000;1.004e+00;4.209e-01;4.660e-01;4.193e-01;4.642e-01;1.004e+00;4.191e-01;4.644e-01;1.004e+00;1.684e-02;1.864e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.087000000;1.004e+00;4.208e-01;4.658e-01;4.191e-01;4.640e-01;1.004e+00;4.189e-01;4.642e-01;1.004e+00;1.683e-02;1.863e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.090000000;1.004e+00;4.206e-01;4.656e-01;4.189e-01;4.638e-01;1.004e+00;4.188e-01;4.640e-01;1.004e+00;1.682e-02;1.862e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.093000000;1.004e+00;4.204e-01;4.655e-01;4.188e-01;4.637e-01;1.004e+00;4.185e-01;4.639e-01;1.004e+00;1.682e-02;1.862e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.096000000;1.004e+00;4.201e-01;4.653e-01;4.185e-01;4.635e-01;1.004e+00;4.183e-01;4.637e-01;1.004e+00;1.681e-02;1.861e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.099000000;1.004e+00;4.199e-01;4.652e-01;4.183e-01;4.634e-01;1.004e+00;4.181e-01;4.636e-01;1.004e+00;1.680e-02;1.861e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.102000000;1.004e+00;4.196e-01;4.651e-01;4.180e-01;4.633e-01;1.004e+00;4.178e-01;4.635e-01;1.004e+00;1.679e-02;1.860e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.105000000;1.004e+00;4.194e-01;4.650e-01;4.178e-01;4.632e-01;1.004e+00;4.176e-01;4.634e-01;1.004e+00;1.678e-02;1.860e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.108000000;1.004e+00;4.191e-01;4.649e-01;4.175e-01;4.631e-01;1.004e+00;4.173e-01;4.633e-01;1.004e+00;1.676e-02;1.860e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.111000000;1.004e+00;4.189e-01;4.648e-01;4.173e-01;4.630e-01;1.004e+00;4.171e-01;4.632e-01;1.004e+00;1.675e-02;1.859e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.114000000;1.004e+00;4.187e-01;4.647e-01;4.171e-01;4.630e-01;1.004e+00;4.169e-01;4.632e-01;1.004e+00;1.675e-02;1.859e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.117000000;1.004e+00;4.184e-01;4.647e-01;4.168e-01;4.629e-01;1.004e+00;4.166e-01;4.631e-01;1.004e+00;1.674e-02;1.859e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.120000000;1.004e+00;4.182e-01;4.646e-01;4.166e-01;4.629e-01;1.004e+00;4.164e-01;4.631e-01;1.004e+00;1.673e-02;1.859e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.123000000;1.004e+00;4.180e-01;4.646e-01;4.164e-01;4.628e-01;1.004e+00;4.162e-01;4.630e-01;1.004e+00;1.672e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.126000000;1.004e+00;4.178e-01;4.645e-01;4.162e-01;4.628e-01;1.004e+00;4.160e-01;4.630e-01;1.004e+00;1.671e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.129000000;1.004e+00;4.176e-01;4.645e-01;4.160e-01;4.628e-01;1.004e+00;4.158e-01;4.630e-01;1.004e+00;1.670e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.132000000;1.004e+00;4.175e-01;4.645e-01;4.159e-01;4.627e-01;1.004e+00;4.157e-01;4.629e-01;1.004e+00;1.670e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.135000000;1.004e+00;4.173e-01;4.645e-01;4.157e-01;4.627e-01;1.004e+00;4.155e-01;4.629e-01;1.004e+00;1.669e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.138000000;1.004e+00;4.171e-01;4.645e-01;4.156e-01;4.627e-01;1.004e+00;4.154e-01;4.629e-01;1.004e+00;1.669e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.141000000;1.004e+00;4.170e-01;4.644e-01;4.155e-01;4.627e-01;1.004e+00;4.153e-01;4.629e-01;1.004e+00;1.668e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.144000000;1.004e+00;4.169e-01;4.644e-01;4.153e-01;4.627e-01;1.004e+00;4.151e-01;4.629e-01;1.004e+00;1.668e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.147000000;1.004e+00;4.168e-01;4.644e-01;4.153e-01;4.627e-01;1.004e+00;4.150e-01;4.629e-01;1.004e+00;1.667e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.150000000;1.004e+00;4.167e-01;4.644e-01;4.152e-01;4.627e-01;1.004e+00;4.150e-01;4.629e-01;1.004e+00;1.667e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.153000000;1.004e+00;4.167e-01;4.644e-01;4.151e-01;4.627e-01;1.004e+00;4.149e-01;4.629e-01;1.004e+00;1.667e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.156000000;1.004e+00;4.166e-01;4.644e-01;4.150e-01;4.627e-01;1.004e+00;4.148e-01;4.629e-01;1.004e+00;1.666e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.159000000;1.004e+00;4.165e-01;4.644e-01;4.150e-01;4.627e-01;1.004e+00;4.148e-01;4.629e-01;1.004e+00;1.666e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.162000000;1.004e+00;4.165e-01;4.644e-01;4.149e-01;4.627e-01;1.004e+00;4.147e-01;4.629e-01;1.004e+00;1.666e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
30.165000000;1.004e+00;4.164e-01;4.644e-01;4.149e-01;4.627e-01;1.004e+00;4.147e-01;4.629e-01;1.004e+00;1.666e-02;1.858e-02;5.000e+01;1.000e+01;4.166e-01;4.448e-01;5.000e+01;5.000e+01
