Time (s);Ip PGU (pu);Ip lower (pu);Ip upper (pu);Ip upper_overdamped (pu);Ip lower_overdamped (pu);Ip upper_underdamped (pu);Ip lower_underdamped (pu)
0.000e+00;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.667e-03;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.334e-03;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
5.002e-03;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
6.669e-03;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
8.336e-03;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.000e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.167e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.334e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.501e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.667e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
1.834e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
2.001e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
2.167e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
2.334e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
2.501e-02;-1.250e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
2.668e-02;-1.249e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
2.834e-02;-1.249e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.001e-02;-1.249e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.168e-02;-1.248e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.334e-02;-1.248e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.501e-02;-1.247e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.668e-02;-1.247e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
3.835e-02;-1.246e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
4.001e-02;-1.246e+00;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.500e-01
4.168e-02;-1.245e+00;-1.200e+00;-9.497e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.497e-01
4.335e-02;-1.244e+00;-1.200e+00;-9.494e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.494e-01
4.502e-02;-1.243e+00;-1.200e+00;-9.492e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.492e-01
4.668e-02;-1.243e+00;-1.200e+00;-9.489e-01;-1.200e+00;-9.500e-01;-1.200e+00;-9.489e-01
